年,学校数,学級数,児童数（人）,教員数（人）
平成25年,12 ,113 ,"2,212 ",182 
平成26年,12 ,110 ,"2,154 ",181 
平成27年,12 ,108 ,"2,090 ",179 
平成28年,10 ,103 ,"2,045 ",167 
平成29年,10 ,98 ,"1,936 ",166 
